书名,评分,链接
红楼梦,9.6,https://book.douban.com/subject/1007305/
活着,9.4,https://book.douban.com/subject/4913064/
百年孤独,9.2,https://book.douban.com/subject/6082808/
1984,9.3,https://book.douban.com/subject/4820710/
飘,9.3,https://book.douban.com/subject/1068920/
三体全集,9.4,https://book.douban.com/subject/6518605/
三国演义（全二册）,9.3,https://book.douban.com/subject/1019568/
白夜行,9.1,https://book.douban.com/subject/10554308/
福尔摩斯探案全集（上中下）,9.2,https://book.douban.com/subject/1040211/
房思琪的初恋乐园,9.2,https://book.douban.com/subject/27614904/
动物农场,9.2,https://book.douban.com/subject/2035179/
小王子,9.0,https://book.douban.com/subject/1084336/
天龙八部,9.1,https://book.douban.com/subject/1255625/
撒哈拉的故事,9.2,https://book.douban.com/subject/1060068/
安徒生童话故事集,9.2,https://book.douban.com/subject/1046209/
哈利•波特,9.7,https://book.douban.com/subject/24531956/
沉默的大多数,9.1,https://book.douban.com/subject/1054685/
人类简史,9.1,https://book.douban.com/subject/25985021/
平凡的世界（全三部）,9.0,https://book.douban.com/subject/1200840/
围城,8.9,https://book.douban.com/subject/1008145/
霍乱时期的爱情,9.0,https://book.douban.com/subject/10594787/
局外人,9.0,https://book.douban.com/subject/4908885/
明朝那些事儿（1-9）,9.1,https://book.douban.com/subject/3674537/
杀死一只知更鸟,9.2,https://book.douban.com/subject/6781808/
笑傲江湖（全四册）,9.0,https://book.douban.com/subject/1002299/
